Customer,Ticket Date,Quarry,Product Name,Ticket Number,Gross,Tare,Net,Delivery,Purchase Order,Trucker,Truck / Plate,OCR Provider,Captured At
,,Pleasant Valley,+ape| Pe,0355,,,,,,Ee =,,pytesseract,2026-07-24T20:37:29.242771
1] ‘ Bese,,Long Point,BSE,07173,,,15200, eee,,ee,Ss,pytesseract,2026-07-24T20:37:29.986355
